,precision,recall,f1-score,support
Dermatitis,0.9538461538461539,0.9393939393939394,0.9465648854961832,66.0
Fungal_infections,0.8723404255319149,0.82,0.845360824742268,50.0
Healthy,0.8918918918918919,0.9565217391304348,0.9230769230769231,69.0
Hypersensitivity,0.8148148148148148,0.9166666666666666,0.8627450980392157,24.0
demodicosis,0.9803921568627451,1.0,0.9900990099009901,100.0
ringworm,0.981651376146789,0.9304347826086956,0.9553571428571429,115.0
macro avg,0.915822803182385,0.9271695212999562,0.920533980685454,424.0
weighted avg,0.9400851119568235,0.9386792452830188,0.9387157692070303,424.0
