,precision,recall,f1-score,support
Dermatitis,0.984375,0.9545454545454546,0.9692307692307692,66.0
Fungal_infections,0.9787234042553191,0.92,0.9484536082474226,50.0
Healthy,0.9324324324324325,1.0,0.965034965034965,69.0
Hypersensitivity,0.92,0.9583333333333334,0.9387755102040817,24.0
demodicosis,0.9900990099009901,1.0,0.9950248756218906,100.0
ringworm,0.9911504424778761,0.9739130434782609,0.9824561403508771,115.0
macro avg,0.9661300481777696,0.9677986385595081,0.966495978115001,424.0
weighted avg,0.9747994337869306,0.9740566037735849,0.9740445276331424,424.0
