,precision,recall,f1-score,support
Dermatitis,1.0,0.9090909090909091,0.9523809523809523,66.0
Fungal_infections,0.9056603773584906,0.96,0.9320388349514563,50.0
Healthy,0.9571428571428572,0.9710144927536232,0.9640287769784173,69.0
Hypersensitivity,1.0,0.9583333333333334,0.9787234042553191,24.0
demodicosis,1.0,1.0,1.0,100.0
ringworm,0.9745762711864406,1.0,0.9871244635193133,115.0
macro avg,0.972896584281298,0.9664064558629777,0.9690494053475763,424.0
weighted avg,0.9750050641443925,0.9740566037735849,0.9740229840166867,424.0
