,precision,recall,f1-score,support
Dermatitis,0.984375,0.9545454545454546,0.9692307692307692,66.0
Fungal_infections,0.9183673469387755,0.9,0.9090909090909091,50.0
Healthy,0.9705882352941176,0.9565217391304348,0.9635036496350365,69.0
Hypersensitivity,0.8846153846153846,0.9583333333333334,0.92,24.0
demodicosis,0.9900990099009901,1.0,0.9950248756218906,100.0
ringworm,0.9741379310344828,0.9826086956521739,0.9783549783549783,115.0
macro avg,0.9536971512972919,0.9586682037768995,0.9558675303222639,424.0
weighted avg,0.9672741459246855,0.9669811320754716,0.9669783917962389,424.0
