,precision,recall,f1-score,support
Dermatitis,0.96875,0.9393939393939394,0.9538461538461539,66.0
Fungal_infections,0.92,0.92,0.92,50.0
Healthy,0.9436619718309859,0.9710144927536232,0.9571428571428572,69.0
Hypersensitivity,1.0,0.9583333333333334,0.9787234042553191,24.0
demodicosis,0.9900990099009901,1.0,0.9950248756218906,100.0
ringworm,0.9826086956521739,0.9826086956521739,0.9826086956521739,115.0
macro avg,0.9675199462306917,0.9618917435221784,0.9645576644197326,424.0
weighted avg,0.9694813137887667,0.9693396226415094,0.9693126239646699,424.0
