,precision,recall,f1-score,support
Dermatitis,0.9402985074626866,0.9545454545454546,0.9473684210526315,66.0
Fungal_infections,0.94,0.94,0.94,50.0
Healthy,0.9714285714285714,0.9855072463768116,0.9784172661870504,69.0
Hypersensitivity,0.92,0.9583333333333334,0.9387755102040817,24.0
demodicosis,1.0,1.0,1.0,100.0
ringworm,0.9821428571428571,0.9565217391304348,0.9691629955947136,115.0
macro avg,0.9589783226723525,0.9658179622310056,0.9622873655064129,424.0
weighted avg,0.9696101450295691,0.9693396226415094,0.9693902450345996,424.0
