,precision,recall,f1-score,support
Dermatitis,0.9523809523809523,0.9090909090909091,0.9302325581395349,66.0
Fungal_infections,0.8703703703703703,0.94,0.9038461538461539,50.0
Healthy,0.9436619718309859,0.9710144927536232,0.9571428571428572,69.0
Hypersensitivity,0.9545454545454546,0.875,0.9130434782608695,24.0
demodicosis,0.9900990099009901,1.0,0.9950248756218906,100.0
ringworm,0.9823008849557522,0.9652173913043478,0.9736842105263158,115.0
macro avg,0.9488931073307508,0.9433871321914801,0.945495688922937,424.0
weighted avg,0.9584243658044831,0.9575471698113207,0.9575937002909207,424.0
