,precision,recall,f1-score,support
Dermatitis,0.96875,0.9393939393939394,0.9538461538461539,66.0
Fungal_infections,0.96,0.96,0.96,50.0
Healthy,0.9324324324324325,1.0,0.965034965034965,69.0
Hypersensitivity,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
demodicosis,0.9900990099009901,1.0,0.9950248756218906,100.0
ringworm,0.9910714285714286,0.9652173913043478,0.9779735682819384,115.0
macro avg,0.9664791016725477,0.963546332894159,0.9646749625918175,424.0
weighted avg,0.9722051293697678,0.9716981132075472,0.9716480937789002,424.0
